Frame	Temps(s)	X(m)	Y(m)	Z(m)
519	1776691760.986	-0.282	0.2199	1.6616
520	1776691761.033	-0.2822	0.2188	1.659
521	1776691761.065	-0.281	0.2194	1.6513
522	1776691761.097	-0.2834	0.2194	1.6454
523	1776691761.128	-0.2842	0.2198	1.6416
524	1776691761.177	-0.2825	0.2202	1.6355
525	1776691761.208	-0.2813	0.2202	1.6305
526	1776691761.224	-0.2814	0.2195	1.6224
527	1776691761.277	-0.2826	0.2205	1.6159
528	1776691761.302	-0.2808	0.2209	1.6112
529	1776691761.334	-0.2731	0.2182	1.6096
530	1776691761.378	-0.2829	0.2209	1.5992
531	1776691761.398	-0.2745	0.2176	1.5961
532	1776691761.445	-0.2766	0.2167	1.5907
533	1776691761.478	-0.2861	0.2201	1.5794
534	1776691761.509	-0.285	0.2216	1.5748
535	1776691761.54	-0.2844	0.2217	1.5678
536	1776691761.578	-0.2857	0.2219	1.5599
537	1776691761.62	-0.2813	0.222	1.5557
538	1776691761.651	-0.282	0.223	1.5437
539	1776691761.683	-0.2805	0.2236	1.5389
540	1776691761.715	-0.28	0.2226	1.5355
541	1776691761.734	-0.281	0.2223	1.5306
542	1776691761.765	-0.2774	0.2218	1.5238
543	1776691761.794	-0.274	0.2217	1.5144
544	1776691761.832	-0.2726	0.2217	1.5077
545	1776691761.864	-0.2717	0.2217	1.502
546	1776691761.891	-0.2737	0.2217	1.4937
547	1776691761.923	-0.2719	0.2218	1.4865
548	1776691761.96	-0.2731	0.2216	1.4805
549	1776691761.987	-0.2712	0.2214	1.4736
550	1776691762.024	-0.2713	0.2213	1.4683
551	1776691762.056	-0.2744	0.2208	1.4639
552	1776691762.095	-0.2709	0.221	1.4586
553	1776691762.127	-0.2714	0.222	1.4513
554	1776691762.165	-0.2692	0.2208	1.4481
555	1776691762.19	-0.2695	0.2223	1.4382
556	1776691762.227	-0.2683	0.2219	1.4343
557	1776691762.259	-0.2625	0.2206	1.4278
558	1776691762.285	-0.2614	0.2208	1.4213
559	1776691762.317	-0.2607	0.221	1.4126
560	1776691762.348	-0.26	0.2212	1.4065
561	1776691762.38	-0.2593	0.2209	1.4014
562	1776691762.412	-0.2595	0.2201	1.3947
