Frame	Temps(s)	X(m)	Y(m)	Z(m)
323	1776692053.977	-1.0473	0.2259	2.3249
324	1776692054.0	-1.0467	0.2254	2.3239
325	1776692054.032	-1.048	0.2249	2.3229
326	1776692054.064	-1.0458	0.2246	2.3235
327	1776692054.096	-1.0478	0.2244	2.322
328	1776692054.131	-1.0505	0.2252	2.3183
329	1776692054.158	-1.0492	0.224	2.3183
330	1776692054.212	-1.0501	0.225	2.3179
331	1776692054.244	-1.054	0.2261	2.3119
332	1776692054.284	-1.0559	0.227	2.3087
333	1776692054.309	-1.0586	0.2269	2.3042
334	1776692054.341	-1.0544	0.2261	2.3098
335	1776692054.372	-1.0554	0.2251	2.3081
336	1776692054.396	-1.0584	0.2254	2.3042
337	1776692054.431	-1.0652	0.2257	2.2949
338	1776692054.458	-1.0656	0.226	2.2944
339	1776692054.489	-1.0631	0.2256	2.2956
340	1776692054.531	-1.0653	0.2258	2.2929
341	1776692054.552	-1.0665	0.2262	2.2903
342	1776692054.597	-1.0645	0.2268	2.2898
343	1776692054.617	-1.0653	0.2266	2.2917
344	1776692054.647	-1.0667	0.2272	2.2876
345	1776692054.679	-1.0682	0.227	2.2857
346	1776692054.71	-1.0669	0.226	2.2867
347	1776692054.741	-1.0647	0.2263	2.2842
348	1776692054.793	-1.0644	0.2261	2.2829
349	1776692054.822	-1.0688	0.2281	2.2791
350	1776692054.853	-1.069	0.2282	2.2794
351	1776692054.883	-1.0689	0.2267	2.2773
352	1776692054.931	-1.0696	0.2265	2.2752
353	1776692054.972	-1.0703	0.2262	2.278
354	1776692055.001	-1.0692	0.225	2.2773
355	1776692055.031	-1.0661	0.2254	2.2778
356	1776692055.057	-1.0707	0.2249	2.2716
357	1776692055.109	-1.0681	0.2246	2.2721
358	1776692055.138	-1.0679	0.2238	2.2688
359	1776692055.167	-1.0719	0.224	2.264
360	1776692055.199	-1.0726	0.2237	2.2619
361	1776692055.231	-1.0751	0.2242	2.2563
362	1776692055.262	-1.0744	0.2238	2.253
363	1776692055.293	-1.0744	0.2234	2.253
364	1776692055.332	-1.0755	0.2224	2.2512
365	1776692055.356	-1.0769	0.2227	2.2483
366	1776692055.388	-1.0792	0.2234	2.2439
367	1776692055.419	-1.0817	0.2236	2.2381
368	1776692055.465	-1.0824	0.2232	2.2298
369	1776692055.482	-1.0833	0.2234	2.2255
370	1776692055.514	-1.0859	0.2228	2.2239
371	1776692055.561	-1.0852	0.2222	2.2217
